编号,序号,代码,名称,涨跌幅,价格,涨跌额,5分钟涨跌额,今开,昨收,最高,最低,成交量,成交额,换手,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
150,1551,603379,三美股份,-0.0302,16.67,-0.52,0,17.19,17.19,17.2,16.63,14396,24150000,0.0074,1.77,0.6667,0.0332,40.7,3218000000,10170000000,0.41,213000000,2133000000
151,1552,688166,博瑞医药,-0.0303,48.07,-1.5,-0.001,48.76,49.57,49.29,47.85,19528,94940000,0.0108,1.47,0.0798,0.029,112.3,8717000000,19800000000,0.43,122000000,510000000
152,1553,600122,*ST宏图,-0.0303,0.96,-0.03,0,0.99,0.99,0.99,0.94,116400,11170000,0.01,1.78,0.3887,0.0505,-0.4,1112000000,1112000000,-2.17,-422000000,1994000000
153,1554,603619,中曼石油,-0.0303,8.31,-0.26,0,8.56,8.57,8.56,8.3,25125,21030000,0.0063,1.12,0.202,0.0303,-10.9,3320000000,3320000000,-0.76,-279000000,1217000000
154,1555,688313,仕佳光子,-0.0304,21.7,-0.68,-0.0009,22.08,22.38,22.37,21.62,7846,17160000,0.0189,0.72,-0.1023,0.0335,232.7,904000000,9984000000,0.09,36410000,500000000
155,1556,603006,联明股份,-0.0304,9.25,-0.29,-0.001,9.54,9.54,9.54,9.21,12698,11860000,0.0066,1.83,0.5549,0.0346,28,1767000000,1767000000,0.33,60760000,580000000
156,1557,600123,兰花科创,-0.0304,5.1,-0.16,-0.0019,5.25,5.26,5.25,5.08,90896,46780000,0.0079,1.67,0.2651,0.0323,34.7,5826000000,5826000000,0.15,245000000,4773000000
157,1558,605169,洪通燃气,-0.0305,20.03,-0.63,-0.001,20.63,20.66,20.63,19.95,15676,31650000,0.0392,1.44,-0.1436,0.0329,15,801000000,3205000000,1.33,85530000,533000000
158,1559,601628,中国人寿,-0.0306,38.38,-1.21,0,39.31,39.59,39.5,38.35,178900,695000000,0.0009,1.23,0.5091,0.029,22.9,7.99E+11,1.09万亿,1.68,47070000000,6.92E+11
159,1560,688129,东来技术,-0.0306,18.08,-0.57,-0.0038,18.55,18.65,18.78,17.93,10911,19960000,0.0399,1.15,-0.0717,0.0456,19.9,494000000,2171000000,0.91,54800000,281000000
160,1561,603683,晶华新材,-0.0306,13.62,-0.43,0.0043,13.81,14.05,13.94,13.44,22025,30020000,0.0173,0.99,-0.8358,0.0356,48.5,1720000000,1720000000,0.28,34090000,699000000
161,1562,600048,保利地产,-0.0307,14.85,-0.47,-0.0013,15.16,15.32,15.17,14.83,797100,1192000000,0.0066,1.31,0.7542,0.0222,6.2,1.78E+11,1.78E+11,2.38,13200000000,1.17E+11
162,1563,600218,全柴动力,-0.0308,8.51,-0.27,0.0011,8.74,8.78,8.77,8.47,53317,45640000,0.0144,1.95,0.6514,0.0342,21.3,3138000000,3138000000,0.4,121000000,3330000000
163,1564,600543,莫高股份,-0.031,7.82,-0.25,0.0025,8,8.07,8.13,7.75,102100,80370000,0.0317,0.76,0.6709,0.0471,390,2505000000,2505000000,0.02,-6847000,73790000
164,1565,605388,均瑶健康,-0.0311,19.62,-0.63,0.001,20.2,20.25,20.2,19.57,26413,52310000,0.0377,1.02,0.3757,0.0311,23.3,1373000000,8432000000,0.84,197000000,710000000
165,1566,601898,中煤能源,-0.0311,4.36,-0.14,-0.0022,4.5,4.5,4.5,4.35,206800,91040000,0.0023,0.9,0.526,0.0333,14.5,39900000000,57800000000,0.3,4154000000,1.00E+11
166,1567,601939,建设银行,-0.0312,6.53,-0.21,0.0015,6.71,6.74,6.74,6.51,1234000,814000000,0.0128,1.18,0.6937,0.0341,6.7,62640000000,1.63万亿,0.97,2.06E+11,5.71E+11
167,1568,603863,松炀资源,-0.0312,10.26,-0.33,0.0019,10.42,10.59,10.5,10.16,53369,55020000,0.0491,1.05,-0.1796,0.0321,27.8,1117000000,2117000000,0.37,50820000,341000000
168,1569,603299,苏盐井神,-0.0312,7.46,-0.24,-0.0026,7.79,7.7,7.79,7.38,114100,85460000,0.0204,0.75,0.0585,0.0532,30.5,4173000000,5777000000,0.24,163000000,2864000000
169,1570,600850,华东电脑,-0.0312,26.4,-0.85,-0.0007,27.23,27.25,27.38,26.26,31520,83840000,0.0074,1.43,-0.0562,0.0411,36.7,11260000000,11260000000,0.72,247000000,5202000000
170,1571,601969,海南矿业,-0.0312,5.28,-0.17,0.0037,5.46,5.45,5.48,5.22,55153,29280000,0.0028,1.61,-0.2521,0.0477,131.8,10300000000,10300000000,0.04,63310000,1996000000
171,1572,603022,新通联,-0.0312,10.55,-0.34,0,10.88,10.89,10.88,10.48,7322,7751000,0.0037,0.99,-0.0062,0.0367,65.9,2110000000,2110000000,0.16,27520000,464000000
172,1573,600982,宁波能源,-0.0313,3.1,-0.1,0.0031,3.19,3.2,3.19,3.07,146600,45780000,0.0195,1.34,0.1624,0.0375,21.2,2315000000,3465000000,0.15,149000000,3488000000
173,1574,600395,盘江股份,-0.0314,7.71,-0.25,0.0025,7.94,7.96,7.94,7.64,76401,59270000,0.0046,1.1,0.8761,0.0377,16,12740000000,12740000000,0.48,600000000,4822000000
174,1575,688551,科威尔,-0.0314,30.22,-0.98,-0.0019,31.16,31.2,31.2,30.03,3185,9702000,0.0171,1.01,-0.7622,0.0375,36,550000000,2416000000,0.84,35350000,116000000
175,1576,688378,奥来德,-0.0314,51.47,-1.67,-0.0058,53.96,53.14,53.96,51.09,1815,9370000,0.0121,0.85,-0.3363,0.054,34.1,770000000,3764000000,1.51,35550000,174000000
176,1577,688510,航亚科技,-0.0316,29.46,-0.96,-0.0033,30.12,30.42,30.6,29.24,22789,68000000,0.0461,1.67,0.1914,0.0447,135.4,1458000000,7617000000,0.22,39440000,221000000
177,1578,600322,天房发展,-0.0317,2.14,-0.07,0,2.2,2.21,2.21,2.13,76050,16450000,0.0069,1.13,-0.0439,0.0362,-50.7,2366000000,2366000000,-0.04,30510000,1947000000
178,1579,600255,*ST鑫科,-0.0317,1.83,-0.06,-0.0053,1.89,1.89,1.89,1.82,120400,22170000,0.0067,1.55,0.2794,0.037,-3.2,3238000000,3238000000,-0.57,73200000,2388000000
179,1580,600090,*ST济堂,-0.0317,1.22,-0.04,0.0079,1.25,1.26,1.26,1.21,136200,16690000,0.0094,1.54,-0.3526,0.0397,13.6,1756000000,1756000000,0.09,15650000,2635000000
180,1581,600961,株冶集团,-0.0319,6.38,-0.21,0,6.59,6.59,6.59,6.37,43036,27770000,0.0081,1.87,0.9065,0.0334,31.9,3370000000,3370000000,0.2,167000000,11220000000
181,1582,603688,石英股份,-0.0319,20.02,-0.66,-0.0044,20.57,20.68,20.59,19.98,26552,53670000,0.0074,1.32,0.4494,0.0295,34.5,7066000000,7066000000,0.58,149000000,470000000
182,1583,600439,瑞贝卡,-0.032,2.42,-0.08,0,2.49,2.5,2.51,2.41,101300,24650000,0.0089,1.11,0.5041,0.04,73.3,2739000000,2739000000,0.03,9555000,844000000
183,1584,600150,中国船舶,-0.0321,17.81,-0.59,0,18.37,18.4,18.38,17.71,117400,211000000,0.0085,1.81,0.1863,0.0364,68.2,24540000000,79650000000,0.26,163000000,37460000000
184,1585,600383,金地集团,-0.0321,12.07,-0.4,0.0008,12.36,12.47,12.37,12.03,277400,338000000,0.0061,0.96,0.3897,0.0273,5.6,54530000000,54530000000,2.14,4992000000,40200000000
185,1586,600785,新华百货,-0.0322,12.04,-0.4,-0.0008,12.3,12.44,12.3,12.03,4705,5695000,0.0021,1.48,-0.0212,0.0217,58.8,2717000000,2717000000,0.2,33990000,5585000000
186,1587,600667,太极实业,-0.0322,9.31,-0.31,0,9.63,9.62,9.67,9.3,197800,187000000,0.0093,1.4,0.8714,0.0385,27.4,19600000000,19600000000,0.34,520000000,12610000000
187,1588,601138,工业富联,-0.0323,14.7,-0.49,0.0039,15.09,15.19,15.1,14.44,522500,764000000,0.018,1.39,-0.1151,0.0434,17.1,42560000000,2.92E+11,0.86,8805000000,2.83E+11
188,1589,600715,文投控股,-0.0323,2.1,-0.07,0,2.16,2.17,2.16,2.09,32025,6793000,0.0017,0.92,-0.0835,0.0323,-4.7,3895000000,3895000000,-0.45,-788000000,282000000
189,1590,603290,斯达半导,-0.0323,245.49,-8.2,0.004,253.7,253.69,256.2,239.05,22005,542000000,0.0549,1.52,0.3997,0.0676,216.8,9799000000,39190000000,1.13,134000000,668000000
190,1591,688508,芯朋微,-0.0323,82,-2.74,0.0002,84.74,84.74,84.74,81.81,11583,95740000,0.0431,1.37,0.4122,0.0346,89,2194000000,9238000000,0.92,59260000,280000000
191,1592,600030,中信证券,-0.0324,30.16,-1.01,0.0006,30.8,31.17,31.09,30.08,1354000,4144000000,0.0137,1.38,-0.2776,0.0324,26.7,2.96E+11,3.90E+11,1.13,12660000000,41990000000
192,1593,603186,华正新材,-0.0324,31.63,-1.06,0.0015,32.5,32.69,32.5,31.56,17044,54530000,0.0121,0.9,-0.7685,0.0288,36,4438000000,4499000000,0.88,92940000,1564000000
193,1594,688200,华峰测控,-0.0325,423.05,-14.2,0.0018,432,437.25,437.86,412,4809,202000000,0.0338,0.94,0.5378,0.0591,91,6008000000,25830000000,4.64,137000000,293000000
194,1595,600389,江山股份,-0.0325,21.7,-0.73,-0.0004,22.32,22.43,22.32,21.6,17839,39070000,0.0059,1.17,-0.7432,0.0321,20.9,6445000000,6445000000,1.04,261000000,3768000000
195,1596,600559,老白干酒,-0.0326,28.53,-0.96,-0.0007,29.4,29.49,29.7,28.34,351600,1016000000,0.04,1.02,0.0308,0.0461,69.4,24950000000,25530000000,0.41,233000000,2497000000
196,1597,603727,博迈科,-0.0326,15.13,-0.51,-0.0026,15.37,15.64,15.55,15.01,12909,19660000,0.0055,1.44,0.427,0.0345,39.8,3543000000,3543000000,0.38,79240000,1649000000
197,1598,601600,中国铝业,-0.0326,3.56,-0.12,0,3.64,3.68,3.66,3.54,1104000,397000000,0.0084,1.61,0.2014,0.0326,273.8,46560000000,60600000000,0.01,452000000,1.33E+11
198,1599,600429,三元股份,-0.0329,4.7,-0.16,-0.0041,4.82,4.86,4.84,4.68,85369,40490000,0.0057,2.33,0.3473,0.0329,-60.1,7009000000,7009000000,-0.08,-46460000,5421000000
199,1600,603258,电魂网络,-0.033,29.92,-1.02,-0.0019,30.94,30.94,30.94,29.81,30500,92230000,0.0126,1.47,0.781,0.0365,18.1,7219000000,7422000000,1.65,310000000,737000000
200,1601,601878,浙商证券,-0.033,13.78,-0.47,0.0014,14.12,14.25,14.17,13.71,391700,546000000,0.0108,2.26,0.7301,0.0323,36.3,49800000000,49800000000,0.38,1027000000,7091000000
201,1602,600845,宝信软件,-0.033,63.9,-2.18,0,66.07,66.08,66.78,63.76,42134,274000000,0.005,1.48,0.6788,0.0457,58.1,53570000000,73720000000,1.1,968000000,5704000000
202,1603,688208,道通科技,-0.0331,74.45,-2.55,0,77.2,77,77.2,73.58,2917,21900000,0.0061,0.62,0.4589,0.047,48,3574000000,33500000000,1.55,319000000,1073000000
203,1604,600741,华域汽车,-0.0333,30.21,-1.04,0.0016,30.99,31.25,31,29.96,111200,337000000,0.0035,1.02,0.3053,0.0333,20.5,95210000000,95210000000,1.47,3102000000,91720000000
204,1605,603068,博通集成,-0.0333,81.32,-2.8,0.0052,84.51,84.12,85.6,80.67,11753,96840000,0.0125,1.11,-0.4063,0.0586,75.9,7648000000,12210000000,1.07,57960000,559000000
205,1606,605123,派克新材,-0.0334,69.75,-2.41,-0.0024,72.08,72.16,72.1,69.7,5799,41020000,0.0215,1.02,-0.2143,0.0333,34.9,1885000000,7538000000,2,122000000,730000000
206,1607,600990,四创电子,-0.0336,46.08,-1.6,-0.0013,47.57,47.68,47.57,45.91,11329,52560000,0.0071,1.59,0.1912,0.0348,67.6,7335000000,7335000000,0.68,-75260000,1058000000
207,1608,603106,恒银科技,-0.0336,6.91,-0.24,-0.0014,7.11,7.15,7.11,6.9,19929,13910000,0.005,1.59,0.8069,0.0294,-2661.5,2771000000,2771000000,0,11820000,627000000
208,1609,601101,昊华能源,-0.0336,3.74,-0.13,0,3.85,3.87,3.85,3.72,71325,26840000,0.0059,1.12,0.8108,0.0336,-19.7,4488000000,4488000000,-0.19,103000000,3098000000
209,1610,688037,芯源微,-0.0336,101.21,-3.52,0.0002,104,104.73,105.99,98.47,11139,113000000,0.0251,0.96,0.7385,0.0718,102.1,4482000000,8489000000,0.99,44680000,212000000
210,1611,601066,中信建投,-0.0337,40.18,-1.4,-0.0017,41.41,41.58,41.5,40.17,227400,929000000,0.0171,1.36,-0.5927,0.031,36.2,52870000000,3.12E+11,1.11,7491000000,15850000000
211,1612,603979,金诚信,-0.0337,12.04,-0.42,-0.0016,12.45,12.46,12.45,12,77300,93850000,0.0132,0.61,0.9466,0.0361,20.1,7024000000,7024000000,0.6,276000000,2770000000
212,1613,603138,海量数据,-0.0337,12.89,-0.45,-0.0015,13.35,13.34,13.39,12.78,15422,20000000,0.0061,1.48,0.0304,0.0457,64.1,3257000000,3257000000,0.2,19960000,292000000
213,1614,600569,安阳钢铁,-0.0338,2.29,-0.08,0,2.35,2.37,2.36,2.28,212400,49010000,0.0089,1.26,0.4467,0.0338,-53.5,5505000000,6607000000,-0.04,18220000,22630000000
214,1615,688333,铂力特,-0.034,136.39,-4.8,0.0006,141,141.19,141,135.3,6788,92900000,0.0153,1.92,-0.4798,0.0404,262.3,6054000000,10910000000,0.52,-13080000,132000000
215,1616,600157,ST永泰,-0.034,1.42,-0.05,0,1.45,1.47,1.47,1.41,1515000,217000000,0.0068,2.42,0.1095,0.0408,83.9,31320000000,31320000000,0.02,198000000,15730000000
216,1617,688006,杭可科技,-0.0341,79.14,-2.79,0.0022,81.95,81.93,82.04,78.07,14222,113000000,0.013,1.01,0.5611,0.0485,102.9,8656000000,31770000000,0.77,308000000,1030000000
217,1618,688299,长阳科技,-0.0341,23.8,-0.84,0,24.64,24.64,24.68,23.55,18743,44670000,0.0084,1.82,0.5271,0.0459,36.1,5308000000,6736000000,0.66,135000000,736000000
218,1619,600854,春兰股份,-0.0341,3.4,-0.12,0,3.49,3.52,3.5,3.38,32710,11210000,0.0063,2.68,0.3045,0.0341,46.6,1766000000,1766000000,0.07,54120000,203000000
219,1620,688168,安博通,-0.0341,52.11,-1.84,-0.0017,53.9,53.95,53.9,52.08,2549,13420000,0.0091,1.38,-0.1825,0.0337,38.3,1461000000,2667000000,1.36,8251000,130000000
220,1621,601137,博威合金,-0.0341,11.32,-0.4,0.0009,11.74,11.72,11.79,11.24,101400,116000000,0.014,1.39,0.4983,0.0469,16.1,8129000000,8920000000,0.7,353000000,5632000000
221,1622,600640,号百控股,-0.0341,11.6,-0.41,0,12.01,12.01,12.1,11.58,26829,31440000,0.0034,1.27,0.4291,0.0433,-88.7,9230000000,9230000000,-0.13,-158000000,2533000000
222,1623,603118,共进股份,-0.0341,9.9,-0.35,0,10.25,10.25,10.25,9.9,55145,55070000,0.0071,2.26,0.5594,0.0341,22.5,7680000000,7680000000,0.44,298000000,6237000000
223,1624,600966,博汇纸业,-0.0342,14.95,-0.53,-0.0006,15.55,15.48,15.7,14.91,179200,273000000,0.0134,0.86,0.4924,0.051,38.1,19970000000,19970000000,0.39,527000000,9327000000
224,1625,688186,广大特材,-0.0343,31.57,-1.12,-0.0003,32.55,32.69,32.61,31.31,11162,35440000,0.0277,1.74,-0.2968,0.0398,15.5,1273000000,5204000000,2.04,139000000,1319000000
225,1626,605008,长鸿高科,-0.0343,30.41,-1.08,-0.0117,31.19,31.49,31.81,29.88,48101,148000000,0.1044,1.27,-0.4979,0.0613,58.6,1401000000,13970000000,0.52,157000000,884000000
226,1627,603959,百利科技,-0.0344,10.4,-0.37,-0.0028,10.7,10.77,10.73,10.34,22545,23580000,0.0046,0.74,0.6715,0.0362,-7.1,5099000000,5099000000,-1.46,50000000,1080000000
227,1628,688007,光峰科技,-0.0345,19.33,-0.69,0.0005,20,20.02,20,19.25,9669,18830000,0.0034,0.64,0.5905,0.0375,80.7,5485000000,8765000000,0.24,44130000,1238000000
228,1629,600117,西宁特钢,-0.0345,3.36,-0.12,0.0057,3.44,3.48,3.45,3.33,74899,25300000,0.0071,1.48,0.4364,0.0345,168,3512000000,3512000000,0.02,9529000,6891000000
229,1630,688135,利扬芯片,-0.0346,37.65,-1.35,-0.0028,38.8,39,39.2,37.6,10895,41510000,0.0393,1.04,-0.2855,0.041,61.9,1046000000,5150000000,0.61,30580000,176000000
230,1631,600792,云煤能源,-0.0347,3.62,-0.13,-0.0027,4.01,3.75,4.07,3.6,417700,161000000,0.0421,5.72,0.4716,0.1253,90.8,3593000000,3593000000,0.04,12220000,3406000000
231,1632,600759,洲际油气,-0.0349,1.66,-0.06,0,1.7,1.72,1.7,1.62,313600,51960000,0.0139,2.16,0.1713,0.0465,-22.3,3703000000,3712000000,-0.07,-184000000,1237000000
232,1633,603918,金桥信息,-0.0349,9.4,-0.34,0,9.75,9.74,9.79,9.35,11821,11210000,0.0051,1.97,0.6313,0.0452,29.9,2185000000,2209000000,0.31,38150000,529000000
233,1634,600496,精工钢构,-0.0349,5.25,-0.19,-0.0037,5.41,5.44,5.49,5.24,263300,141000000,0.0174,1.17,0.5742,0.046,16.8,7945000000,10580000000,0.31,489000000,7760000000
234,1635,688288,鸿泉物联,-0.035,33.38,-1.21,0,34.33,34.59,34.5,33,5873,19800000,0.0114,1,-0.7819,0.0434,42.7,1710000000,3332000000,0.78,54820000,303000000
235,1636,688318,财富趋势,-0.0351,201.66,-7.34,0.0017,206.09,209,207.42,200.09,6739,137000000,0.0404,1.45,0.0678,0.0351,36.3,3358000000,13440000000,5.55,122000000,141000000
236,1637,600773,西藏城投,-0.0352,8.78,-0.32,0.0033,8.93,9.1,9,8.53,349200,304000000,0.0467,1.25,-0.3638,0.0516,67.7,6566000000,7213000000,0.13,71200000,978000000
237,1638,603232,格尔软件,-0.0352,21.37,-0.78,-0.0018,22.28,22.15,22.28,21.34,15874,34390000,0.0091,1.29,0.0142,0.0415,48.5,3678000000,4125000000,0.44,-33730000,176000000
238,1639,688023,安恒信息,-0.0353,275.49,-10.07,0.0016,286.76,285.56,289,269.01,6014,166000000,0.0116,1.83,0.8742,0.07,142.7,14150000000,20290000000,1.92,-33640000,660000000
239,1640,600549,厦门钨业,-0.0353,17.5,-0.64,0.0077,18.6,18.14,18.6,17.19,739400,1308000000,0.0525,3.01,-0.3463,0.0777,47.3,24560000000,24780000000,0.37,369000000,12820000000
