编号,序号,代码,名称,涨跌幅,价格,涨跌额,5分钟涨跌额,今开,昨收,最高,最低,成交量,成交额,换手,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
371,1772,688077,大地熊,-0.0511,43.66,-2.35,0.0002,44.69,46.01,45.79,43.37,28135,125000000,0.148,2.19,0.4982,0.0526,31.8,827000000,3484000000,1.37,32360000,516000000
372,1773,601717,郑煤机,-0.0525,11.36,-0.63,-0.0017,12,11.99,12.05,11.29,272300,315000000,0.0183,1.03,0.5529,0.0634,16.5,16910000000,19680000000,0.69,1213000000,19240000000
373,1774,688608,恒玄科技,-0.0529,378.92,-21.17,0.0098,400.09,400.09,407,371.18,10073,388000000,0.0438,1.61,-0.0856,0.0895,241.9,8708000000,45470000000,1.57,117000000,669000000
374,1775,600984,建设机械,-0.0533,11.18,-0.63,0.0017,11.82,11.81,11.83,11.14,204700,232000000,0.0238,1.27,0.4903,0.0584,19.4,9604000000,10810000000,0.58,375000000,2697000000
375,1776,600918,中泰证券,-0.0534,15.41,-0.87,-0.0049,16.16,16.28,16.25,15.31,377800,597000000,0.0542,2.33,0.4517,0.0577,24.5,10730000000,1.07E+11,0.63,2295000000,7529000000
376,1777,600379,宝光股份,-0.0535,6.54,-0.37,0.0058,6.91,6.91,6.92,6.36,205200,135000000,0.0622,0.93,0.2302,0.081,46.4,2160000000,2160000000,0.14,30610000,612000000
377,1778,600257,大湖股份,-0.0546,5.71,-0.33,-0.0033,6.01,6.04,6.04,5.66,317300,183000000,0.0659,1.12,0.0738,0.0629,-21,2748000000,2748000000,-0.27,5679000,642000000
378,1779,603890,春秋电子,-0.0551,13.2,-0.77,0.0007,13.9,13.97,13.9,13.11,89313,120000000,0.0236,1.97,-0.6008,0.0565,16.7,5004000000,5089000000,0.79,196000000,2416000000
379,1780,600823,世茂股份,-0.0553,4.44,-0.26,-0.0021,4.67,4.7,4.67,4.43,195700,88660000,0.0052,1.56,0.5788,0.0511,8.4,16650000000,16650000000,0.53,1081000000,12010000000
380,1781,600199,金种子酒,-0.0554,15.7,-0.92,-0.0012,16.3,16.62,16.74,15.66,336200,541000000,0.0554,1.33,0.742,0.065,-42.1,9522000000,10320000000,-0.37,-105000000,663000000
381,1782,600403,大有能源,-0.0556,4.25,-0.25,0,4.42,4.5,4.43,4.21,226100,97020000,0.0095,1.37,0.166,0.0489,161.6,10160000000,10160000000,0.03,139000000,4399000000
